"Year","Male","Female"
1935,1,0
1936,7,2
1937,3,1
1938,9,1
1939,13,5
1940,51,11
1941,53,8
1942,47,5
1943,14,0
1944,12,3
1945,7,0
1946,8,1
1947,15,5
1948,15,4
1949,6,0
1950,9,0
1951,11,1
1952,5,0
1953,1,0
1954,7,0
1955,10,2
1956,11,2
1957,10,2
1958,13,2
1959,27,7
1960,35,4
1961,42,7
1962,35,5
1963,34,6
1964,23,6
1965,42,8
1966,49,11
1967,45,9
1968,41,19
1969,13,10
1970,24,3
1971,56,7
1972,41,18
1973,16,4
1974,15,0
1975,36,3
1976,33,12
1977,40,11
1978,40,20
1979,25,4
1980,26,10
1981,84,31
1982,77,31
1983,105,53
1984,98,40
1985,70,39
1986,92,37
1987,163,87
1988,193,88
1989,156,103
1990,120,53
1991,90,49
1992,134,41
1993,148,56
1994,153,70
1995,129,40
1996,125,62
1997,136,51
1998,92,45
1999,116,61
2000,102,46
2001,54,42
2002,70,41
2003,71,32
2004,71,31
2005,102,54
2006,198,96
2007,124,58
2008,133,74
2009,152,70
2010,199,74
2011,98,51
2012,3,2
2013,1,0
