"Year","Male","Female"
1939,56,10
1940,183,33
1941,180,15
1942,220,14
1943,178,13
1944,121,12
1945,85,12
1946,78,12
1947,58,13
1948,99,14
1949,53,6
1950,26,3
1951,43,9
1952,20,5
1953,26,10
1954,57,19
1955,38,4
1956,13,1
1957,7,0
1958,1,1
1959,4,0
1960,36,2
1961,71,5
1962,86,13
1963,149,25
1964,144,23
1965,132,21
1966,107,19
1967,102,10
1968,111,18
1969,92,17
1970,108,17
1971,93,16
1972,140,34
1973,181,50
1974,180,50
1975,209,66
1976,238,57
1977,214,54
1978,146,32
1979,149,61
1980,187,60
1981,156,58
1982,152,52
1983,122,65
1984,143,61
1985,171,69
1986,168,66
1987,129,45
1988,215,81
1989,237,71
1990,243,92
1991,232,92
1992,318,118
1993,401,125
1994,344,117
1995,210,79
1996,192,101
1997,194,91
1998,190,76
1999,147,72
2000,221,87
2001,148,73
2002,214,85
2003,170,84
2004,168,108
2005,211,112
2006,259,105
2007,209,82
2008,244,101
2009,199,85
2010,200,110
2011,235,99
2012,140,56
2013,97,54
